CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue
臺北市,1960,1,121.45,25.10,3.029278
臺北市,1960,2,121.45,25.10,0.490939
臺北市,1960,3,121.45,25.10,4.312112
臺北市,1960,4,121.45,25.10,6.668623
臺北市,1960,5,121.45,25.10,6.350204
臺北市,1960,6,121.45,25.10,4.424201
臺北市,1960,7,121.45,25.10,5.024908
臺北市,1960,8,121.45,25.10,19.076189
臺北市,1960,9,121.45,25.10,5.712455
臺北市,1960,10,121.45,25.10,1.775209
臺北市,1960,11,121.45,25.10,0.931197
臺北市,1960,12,121.45,25.10,0.976659
臺北市,1961,1,121.45,25.10,0.446937
臺北市,1961,2,121.45,25.10,3.009266
臺北市,1961,3,121.45,25.10,4.473130
臺北市,1961,4,121.45,25.10,1.009334
臺北市,1961,5,121.45,25.10,2.936795
臺北市,1961,6,121.45,25.10,0.330039
臺北市,1961,7,121.45,25.10,3.059971
臺北市,1961,8,121.45,25.10,1.278046
臺北市,1961,9,121.45,25.10,4.547297
臺北市,1961,10,121.45,25.10,0.701730
臺北市,1961,11,121.45,25.10,1.580741
臺北市,1961,12,121.45,25.10,1.722933
臺北市,1962,1,121.45,25.10,1.664271
臺北市,1962,2,121.45,25.10,1.286132
臺北市,1962,3,121.45,25.10,5.892916
臺北市,1962,4,121.45,25.10,1.846001
臺北市,1962,5,121.45,25.10,2.311378
臺北市,1962,6,121.45,25.10,3.388054
臺北市,1962,7,121.45,25.10,2.236100
臺北市,1962,8,121.45,25.10,5.699898
臺北市,1962,9,121.45,25.10,6.110671
臺北市,1962,10,121.45,25.10,1.686242
臺北市,1962,11,121.45,25.10,1.392947
臺北市,1962,12,121.45,25.10,0.264609
臺北市,1963,1,121.45,25.10,0.427274
臺北市,1963,2,121.45,25.10,0.750719
臺北市,1963,3,121.45,25.10,1.747801
臺北市,1963,4,121.45,25.10,0.867038
臺北市,1963,5,121.45,25.10,1.166193
臺北市,1963,6,121.45,25.10,5.306066
臺北市,1963,7,121.45,25.10,3.285046
臺北市,1963,8,121.45,25.10,1.368782
臺北市,1963,9,121.45,25.10,14.135986
臺北市,1963,10,121.45,25.10,0.323657
臺北市,1963,11,121.45,25.10,1.696516
臺北市,1963,12,121.45,25.10,1.788540
臺北市,1964,1,121.45,25.10,5.885844
臺北市,1964,2,121.45,25.10,4.487877
